GeneA	GeneA#	GeneB	GeneB#	GeneAB	GeneAB#	p-value
Dickkopf-1	528	Dlk1	534	Dickkopf-1_Dlk1	1	1.0
CRK	142	HIPK3	45	CRK_HIPK3	1	1.0
ACK1	230	Cortactin	216	ACK1_Cortactin	1	1.0
B-MYB	66	CIP1	852	B-MYB_CIP1	2	1.0
Bud9p	10	Rax1p	4	Bud9p_Rax1p	3	0.966666666667
CD44	15983	ZAP70	496	CD44_ZAP70	2	1.0
connexin43	988	estrogen receptor (ER) beta	8	connexin43_estrogen receptor (ER) beta	0	1.0
IRS1	1490	PARK2	859	IRS1_PARK2	1	1.0
CDC25B	307	PDCD2	112	CDC25B_PDCD2	1	1.0
Aquaporin 1	59	anaplastic lymphoma kinase	1042	Aquaporin 1_anaplastic lymphoma kinase	1	1.0
apoB	3709	diacylglycerol acyltransferase 2	31	apoB_diacylglycerol acyltransferase 2	2	1.0
CXCL9	1520	RUNX1	2804	CXCL9_RUNX1	1	1.0
Angiotensin II	2206	Col3a1	143	Angiotensin II_Col3a1	1	1.0
casp 3	2	cdk1	128	casp 3_cdk1	1	1.0
MetAP2	126	adiponectin	24334	MetAP2_adiponectin	1	1.0
IRS-1	2422	ubiquitin specific protease 7	1	IRS-1_ubiquitin specific protease 7	0	1.0
polycystin-2	76	trf-1	1	polycystin-2_trf-1	0	1.0
FACS	714	Sucla2(SAbgeo)	2	FACS_Sucla2(SAbgeo)	1	1.0
FGF receptor (FGFR) 1	1	FGFR1	3445	FGF receptor (FGFR) 1_FGFR1	0	1.0
Il7(YFP+)	1	receptor activator of NF-kB	128	Il7(YFP+)_receptor activator of NF-kB	0	1.0
MUC1	5676	granzyme B	1753	MUC1_granzyme B	3	0.97057580569
ANG1	81	PACT	546	ANG1_PACT	1	1.0
CD86	3819	rIL-4	230	CD86_rIL-4	2	1.0
TASK-1	358	dopamine D(2) receptor	146	TASK-1_dopamine D(2) receptor	1	1.0
PKCa	2456	RSK	667	PKCa_RSK	1	1.0
HSP27	2557	IkB	790	HSP27_IkB	1	1.0
Cxcr4	297	Dbx1	138	Cxcr4_Dbx1	1	1.0
CYP1A1	4622	HIF1	366	CYP1A1_HIF1	1	1.0
RSK2	572	signal transducer and activator of transcription 3	1745	RSK2_signal transducer and activator of transcription 3	1	1.0
CPT1a	72	peroxisome proliferator-activated receptor gamma	932	CPT1a_peroxisome proliferator-activated receptor gamma	1	1.0
AKR1C2	168	SRD5A2	446	AKR1C2_SRD5A2	6	nan
HXT5	6	ubiquitin	886	HXT5_ubiquitin	1	1.0
BGP	743	Cathepsin K	297	BGP_Cathepsin K	1	1.0
organic anion transporting polypeptide (Oatp) 1a1	1	pregnane X receptor	683	organic anion transporting polypeptide (Oatp) 1a1_pregnane X receptor	0	1.0
IRF4	1389	RB1	1905	IRF4_RB1	3	nan
E1 and E3	22	E3	27	E1 and E3_E3	1	1.0
granzyme B	1753	mast cell tryptase	88	granzyme B_mast cell tryptase	1	1.0
endothelin 1	367	tyrosinase-related protein 2	26	endothelin 1_tyrosinase-related protein 2	1	1.0
IL-1B-511 1/2	1	IL-1a	3527	IL-1B-511 1/2_IL-1a	0	1.0
miR200b	23	miR26a	19	miR200b_miR26a	1	1.0
Brg1	661	DNase IIb	4	Brg1_DNase IIb	2	1.0
VEGFRs-2 and -3	1	Vascular endothelial growth factor A	131	VEGFRs-2 and -3_Vascular endothelial growth factor A	0	1.0
IGFBP-2	933	a2-macroglobulin	7	IGFBP-2_a2-macroglobulin	1	1.0
forkhead box O4	5	transportin 1	13	forkhead box O4_transportin 1	1	1.0
GRK2	1689	arrestin 1	86	GRK2_arrestin 1	1	1.0
RAMP4	1	TRC40	67	RAMP4_TRC40	1	1.0
INK4C	22	SNAI2	403	INK4C_SNAI2	1	1.0
ERa	12165	Hormone Receptor	79	ERa_Hormone Receptor	1	1.0
C-C chemokine receptor 7	22	IL-5	5969	C-C chemokine receptor 7_IL-5	1	1.0
GH	16536	Growth-hormone	5	GH_Growth-hormone	1	1.0
GHBP	139	IGFBPs -1, -2 and -3	1	GHBP_IGFBPs -1, -2 and -3	0	1.0
CS-like	2	CSL	585	CS-like_CSL	1	1.0
EDNRB	384	miR	6138	EDNRB_miR	1	1.0
FUS (1 fALS and 4 sALS	1	SOD1	8251	FUS (1 fALS and 4 sALS_SOD1	0	1.0
MCM2	397	RECQL4	303	MCM2_RECQL4	1	1.0
CD81	1181	CHMP4C	43	CD81_CHMP4C	1	1.0
DYT16	23	Protein kinase, interferon-inducible double stranded RNA dependent activator	1	DYT16_Protein kinase, interferon-inducible double stranded RNA dependent activator	0	1.0
IFN-b	4657	caspases 9, 7, 3 and poly-(ADP ribose) polymerase	1	IFN-b_caspases 9, 7, 3 and poly-(ADP ribose) polymerase	0	1.0
ERa	12165	Estrogen receptor (ER) b	3	ERa_Estrogen receptor (ER) b	1	1.0
