GeneID-1	GeneSym-1	GeneName-1	TaxID-1	GeneID-2	GeneSym-2	GeneName-2	TaxID-2	PubMedIDs	Experiment
10013	HDAC6	-	9606	3309	HSPA5	-	9606	20371724,23703321	Affinity Capture-MS; Affinity Capture-Western
10014	HDAC5	-	9606	3309	HSPA5	-	9606	21081666	Affinity Capture-MS
100506742	CASP12	-	9606	3309	HSPA5	-	9606	11943137	Affinity Capture-Western
10075	HUWE1	-	9606	3309	HSPA5	-	9606	25147182	Affinity Capture-MS
10130	PDIA6	-	9606	3309	HSPA5	-	9606	22939629,24189400	Affinity Capture-MS; Co-fractionation
10131	TRAP1	-	9606	3309	HSPA5	-	9606	24113185	Co-fractionation
10197	PSME3	-	9606	3309	HSPA5	-	9606	16169070	Two-hybrid
10197	PSME3	RecName: Full=78 kDa glucose-regulated protein	9606	3309	HSPA5	RecName: Full=Proteasome activator complex subunit 3	9606	16169070	-
10236	HNRNPR	-	9606	3309	HSPA5	-	9606	26344197	Co-fractionation
10273	STUB1	-	9606	3309	HSPA5	-	9606	26496610	Affinity Capture-MS
10294	DNAJA2	-	9606	3309	HSPA5	-	9606	26344197	Co-fractionation
10342	TFG	-	9606	3309	HSPA5	-	9606	24189400	Affinity Capture-MS
10382	TUBB4A	-	9606	3309	HSPA5	-	9606	22863883	Co-fractionation
10397	NDRG1	-	9606	3309	HSPA5	-	9606	17220478	Affinity Capture-MS
10397	NDRG1	RecName: Full=78 kDa glucose-regulated protein	9606	3309	HSPA5	RecName: Full=Protein NDRG1	9606	17220478	-
10409	BASP1	-	9606	3309	HSPA5	-	9606	22939629	Co-fractionation
10426	TUBGCP3	-	9606	3309	HSPA5	-	9606	23443559	Affinity Capture-MS
10456	HAX1	-	9606	3309	HSPA5	-	9606	20171186	Affinity Capture-MS
10482	NXF1	-	9606	3309	HSPA5	-	9606	22658674	Affinity Capture-RNA
10525	HYOU1	-	9606	3309	HSPA5	-	9606	26496610	Affinity Capture-MS
105375355	UPK3B	-	9606	3309	HSPA5	-	9606	26186194	Affinity Capture-MS
10542	LAMTOR5	-	9606	3309	HSPA5	-	9606	22939629	Co-fractionation
10598	AHSA1	-	9606	3309	HSPA5	-	9606	26693507	Affinity Capture-MS
10768	AHCYL1	-	9606	3309	HSPA5	-	9606	22939629	Co-fractionation
10801	SEPT9	-	9606	3309	HSPA5	-	9606	26496610	Affinity Capture-MS
10808	HSPH1	-	9606	3309	HSPA5	-	9606	26496610	Affinity Capture-MS
10844	TUBGCP2	-	9606	3309	HSPA5	-	9606	23443559	Affinity Capture-MS
10856	RUVBL2	-	9606	3309	HSPA5	-	9606	17643375,26344197	Affinity Capture-MS; Co-fractionation
10906	TRAFD1	-	9606	3309	HSPA5	-	9606	26496610	Affinity Capture-MS
10915	TCERG1	-	9606	3309	HSPA5	-	9606	15456888	Affinity Capture-MS
10915	TCERG1	RecName: Full=78 kDa glucose-regulated protein	9606	3309	HSPA5	RecName: Full=Transcription elongation regulator 1	9606	15456888	-
10916	MAGED2	-	9606	3309	HSPA5	-	9606	23443559	Affinity Capture-MS
10923	SUB1	-	9606	3309	HSPA5	-	9606	26344197	Co-fractionation
10956	OS9	-	9606	3309	HSPA5	-	9606	18264092,18502753,23097496	Affinity Capture-MS; Affinity Capture-Western
